id,kode_provinsi,nama_provinsi,fungsi_kawasan_hutan,luas_kawasan_hutan,satuan,tahun
1,32,JAWA BARAT,HUTAN KONSERVASI,147716.04,HEKTAR,2014
2,32,JAWA BARAT,HUTAN LINDUNG,271161.19,HEKTAR,2014
3,32,JAWA BARAT,HUTAN PRODUKSI TETAP,209719.68,HEKTAR,2014
4,32,JAWA BARAT,HUTAN PRODUKSI TERBATAS,191723.68,HEKTAR,2014
5,32,JAWA BARAT,AREAL PENGGUNAAN LAINNYA,2889380.75,HEKTAR,2014
6,32,JAWA BARAT,HUTAN KONSERVASI,147716.04,HEKTAR,2015
7,32,JAWA BARAT,HUTAN LINDUNG,271161.19,HEKTAR,2015
8,32,JAWA BARAT,HUTAN PRODUKSI TETAP,209720.4,HEKTAR,2015
9,32,JAWA BARAT,HUTAN PRODUKSI TERBATAS,191772.22,HEKTAR,2015
10,32,JAWA BARAT,AREAL PENGGUNAAN LAINNYA,2889158.59,HEKTAR,2015
11,32,JAWA BARAT,HUTAN KONSERVASI,147751.85,HEKTAR,2016
12,32,JAWA BARAT,HUTAN LINDUNG,271159.31,HEKTAR,2016
13,32,JAWA BARAT,HUTAN PRODUKSI TETAP,209731.51,HEKTAR,2016
14,32,JAWA BARAT,HUTAN PRODUKSI TERBATAS,191736.03,HEKTAR,2016
15,32,JAWA BARAT,AREAL PENGGUNAAN LAINNYA,2889149.74,HEKTAR,2016
16,32,JAWA BARAT,HUTAN KONSERVASI,139790.08,HEKTAR,2017
17,32,JAWA BARAT,HUTAN LINDUNG,274830.62,HEKTAR,2017
18,32,JAWA BARAT,HUTAN PRODUKSI TETAP,210311.34,HEKTAR,2017
19,32,JAWA BARAT,HUTAN PRODUKSI TERBATAS,191763.87,HEKTAR,2017
20,32,JAWA BARAT,HUTAN KONSERVASI,170168.1,HEKTAR,2018
21,32,JAWA BARAT,HUTAN LINDUNG,228273.764,HEKTAR,2018
22,32,JAWA BARAT,HUTAN PRODUKSI TETAP,205883.96,HEKTAR,2018
23,32,JAWA BARAT,HUTAN PRODUKSI TERBATAS,168374.01,HEKTAR,2018
24,32,JAWA BARAT,HUTAN KONSERVASI,170140.38,HEKTAR,2019
25,32,JAWA BARAT,HUTAN LINDUNG,225936.93,HEKTAR,2019
26,32,JAWA BARAT,HUTAN PRODUKSI TETAP,198287.96,HEKTAR,2019
27,32,JAWA BARAT,HUTAN PRODUKSI TERBATAS,182465.57,HEKTAR,2019
28,32,JAWA BARAT,HUTAN KONSERVASI,170658.39,HEKTAR,2020
29,32,JAWA BARAT,HUTAN LINDUNG,229221.57,HEKTAR,2020
30,32,JAWA BARAT,HUTAN PRODUKSI TETAP,213117.67,HEKTAR,2020
31,32,JAWA BARAT,HUTAN PRODUKSI TERBATAS,176181.86,HEKTAR,2020
32,32,JAWA BARAT,HUTAN KONSERVASI,170658.39,HEKTAR,2021
33,32,JAWA BARAT,HUTAN LINDUNG,229221.57,HEKTAR,2021
34,32,JAWA BARAT,HUTAN PRODUKSI TETAP (PERMANENT),213117.67,HEKTAR,2021
35,32,JAWA BARAT,HUTAN PRODUKSI TERBATAS (LIMITED),176181.86,HEKTAR,2021
36,32,JAWA BARAT,AREAL PENGGUNAAN LAINNYA,0.0,HEKTAR,2021
